Date,CL
2010-09-29,27.528810501098633
2010-09-30,27.019084930419922
2010-10-01,26.91713523864746
2010-10-04,26.864416122436523
2010-10-05,26.337106704711914
2010-10-06,25.9996280670166
2010-10-07,25.925813674926758
2010-10-08,26.330076217651367
2010-10-11,26.31249237060547
2010-10-12,26.344127655029297
2010-10-13,26.62184715270996
2010-10-14,26.6605224609375
2010-10-15,26.67808723449707
2010-10-18,26.973384857177734
2010-10-19,26.804643630981445
2010-10-20,27.13157081604004
2010-10-21,27.14927101135254
2010-10-22,27.198835372924805
2010-10-25,27.209440231323242
2010-10-26,27.0607852935791
2010-10-27,26.72450828552246
2010-10-28,26.519207000732422
2010-10-29,27.29793930053711
2010-11-01,27.347501754760742
2010-11-02,27.627134323120117
2010-11-03,27.772245407104492
2010-11-04,27.765178680419922
