Date,LDOS
2010-09-29,19.866100311279297
2010-09-30,19.99120330810547
2010-10-01,20.053747177124023
2010-10-04,19.590877532958984
2010-10-05,20.003705978393555
2010-10-06,19.94115447998047
2010-10-07,19.8911190032959
2010-10-08,19.866100311279297
2010-10-11,20.066253662109375
2010-10-12,20.053747177124023
2010-10-13,19.90362548828125
2010-10-14,19.90362548828125
2010-10-15,20.11629867553711
2010-10-18,20.10378646850586
2010-10-19,19.728485107421875
2010-10-20,19.715970993041992
2010-10-21,19.853586196899414
2010-10-22,19.715970993041992
2010-10-25,19.62840461730957
2010-10-26,19.590877532958984
2010-10-27,19.165523529052734
2010-10-28,19.47827911376953
2010-10-29,19.440744400024414
2010-11-01,19.703460693359375
2010-11-02,19.9161319732666
2010-11-03,19.90362548828125
