Date,RJF
2010-09-29,13.63492488861084
2010-09-30,13.618792533874512
2010-10-01,13.957523345947266
2010-10-04,13.758585929870605
2010-10-05,14.167202949523926
2010-10-06,14.301617622375488
2010-10-07,14.393020629882812
2010-10-08,14.57044506072998
2010-10-11,14.629587173461914
2010-10-12,14.79626750946045
2010-10-13,14.92529296875
2010-10-14,14.919917106628418
2010-10-15,14.919917106628418
2010-10-18,15.118853569030762
2010-10-19,15.070465087890625
2010-10-20,15.226383209228516
2010-10-21,15.376928329467773
2010-10-22,15.40381145477295
2010-10-25,15.274775505065918
2010-10-26,15.285530090332031
2010-10-27,15.264021873474121
2010-10-28,15.328540802001953
2010-10-29,15.172621726989746
2010-11-01,15.344666481018066
2010-11-02,15.581243515014648
2010-11-03,15.817806243896484
