Date,HIG
2010-09-29,17.288419723510742
2010-09-30,16.999536514282227
2010-10-01,17.347675323486328
2010-10-04,17.221755981445312
2010-10-05,17.606924057006836
2010-10-06,17.58470916748047
2010-10-07,17.325458526611328
2010-10-08,17.710636138916016
2010-10-11,17.799510955810547
2010-10-12,18.06617546081543
2010-10-13,18.155059814453125
2010-10-14,18.029142379760742
2010-10-15,17.577302932739258
2010-10-18,17.969881057739258
2010-10-19,17.429162979125977
2010-10-20,17.58470916748047
2010-10-21,17.925443649291992
2010-10-22,17.740264892578125
2010-10-25,18.199508666992188
2010-10-26,18.510610580444336
2010-10-27,18.177284240722656
2010-10-28,17.806928634643555
2010-10-29,17.740264892578125
2010-11-01,17.562482833862305
2010-11-02,17.347675323486328
2010-11-03,18.94023323059082
