Date,NSC
2010-09-29,42.37189483642578
2010-09-30,42.187583923339844
2010-10-01,41.8401985168457
2010-10-04,41.37941360473633
2010-10-05,42.187583923339844
2010-10-06,42.30101013183594
2010-10-07,42.27265167236328
2010-10-08,42.91067123413086
2010-10-11,43.00283432006836
2010-10-12,42.343544006347656
2010-10-13,44.101661682128906
2010-10-14,43.796817779541016
2010-10-15,43.605411529541016
2010-10-18,43.59124755859375
2010-10-19,42.91775894165039
2010-10-20,43.860618591308594
2010-10-21,43.64085006713867
2010-10-22,44.02366256713867
2010-10-25,43.9315071105957
2010-10-26,44.094566345214844
2010-10-27,43.491981506347656
2010-10-28,43.09500503540039
2010-10-29,43.59124755859375
2010-11-01,43.78972244262695
2010-11-02,44.222164154052734
2010-11-03,44.300601959228516
2010-11-04,44.72129440307617
