Date,ODFL
2010-09-27,5.539793491363525
2010-09-28,5.550517559051514
2010-09-29,5.537649154663086
2010-09-30,5.451859951019287
2010-10-01,5.366072654724121
2010-10-04,5.286718845367432
2010-10-05,5.454004287719727
2010-10-06,5.381084442138672
2010-10-07,5.404676914215088
2010-10-08,5.4196906089782715
2010-10-11,5.381084442138672
2010-10-12,5.45829439163208
2010-10-13,5.578400135040283
2010-10-14,5.537649154663086
2010-10-15,5.561240196228027
2010-10-18,5.56767463684082
2010-10-19,5.477598190307617
2010-10-20,5.6127142906188965
2010-10-21,5.589122772216797
2010-10-22,5.647029399871826
2010-10-25,5.677055835723877
2010-10-26,5.580542087554932
2010-10-27,5.992327690124512
2010-10-28,5.998763561248779
2010-10-29,6.015920162200928
2010-11-01,5.89152717590332
2010-11-02,5.96873664855957
