Date,WY
2010-09-29,9.482316017150879
2010-09-30,9.264802932739258
2010-10-01,9.458799362182617
2010-10-04,9.276558876037598
2010-10-05,9.482316017150879
2010-10-06,9.44115924835205
2010-10-07,9.370617866516113
2010-10-08,9.300074577331543
2010-10-11,9.25892162322998
2010-10-12,9.311830520629883
2010-10-13,9.411766052246094
2010-10-14,9.264802932739258
2010-10-15,9.123712539672852
2010-10-18,9.006138801574707
2010-10-19,8.953231811523438
2010-10-20,8.99438190460205
2010-10-21,9.123712539672852
2010-10-22,9.241286277770996
2010-10-25,9.40001106262207
2010-10-26,9.28243637084961
2010-10-27,9.294193267822266
2010-10-28,9.223649978637695
2010-10-29,9.535222053527832
2010-11-01,9.611645698547363
2010-11-02,9.646915435791016
2010-11-03,9.682296752929688
