Date,BDX
2010-09-29,56.547054290771484
2010-09-30,56.493682861328125
2010-10-01,56.64619064331055
2010-10-04,56.16587448120117
2010-10-05,57.08073425292969
2010-10-06,57.27897644042969
2010-10-07,56.813907623291016
2010-10-08,56.989253997802734
2010-10-11,57.118839263916016
2010-10-12,57.59917449951172
2010-10-13,57.957496643066406
2010-10-14,58.00326156616211
2010-10-15,58.041351318359375
2010-10-18,58.56743240356445
2010-10-19,58.20909118652344
2010-10-20,58.62841033935547
2010-10-21,58.70464324951172
2010-10-22,58.2472038269043
2010-10-25,58.63603973388672
2010-10-26,58.498802185058594
2010-10-27,58.05662155151367
2010-10-28,58.23960876464844
2010-10-29,57.5762825012207
2010-11-01,57.40095520019531
2010-11-02,57.469566345214844
2010-11-03,57.591556549072266
2010-11-04,59.65764617919922
