Date,WFC
2010-09-29,16.790430068969727
2010-09-30,16.844066619873047
2010-10-01,17.139114379882812
2010-10-04,17.018417358398438
2010-10-05,17.60178565979004
2010-10-06,17.63531494140625
2010-10-07,17.434152603149414
2010-10-08,17.40062141418457
2010-10-11,17.19945526123047
2010-10-12,17.42073631286621
2010-10-13,17.30674934387207
2010-10-14,16.575855255126953
2010-10-15,15.811431884765625
2010-10-18,16.67643928527832
2010-10-19,16.46186637878418
2010-10-20,17.16593360900879
2010-10-21,17.454267501831055
2010-10-22,17.507905960083008
2010-10-25,17.246395111083984
2010-10-26,17.373804092407227
2010-10-27,17.266515731811523
2010-10-28,17.3939208984375
2010-10-29,17.474388122558594
2010-11-01,17.387210845947266
2010-11-02,17.41404151916504
2010-11-03,17.776824951171875
2010-11-04,18.448665618896484
