Date,MO
2010-09-28,9.853032112121582
2010-09-29,9.87338638305664
2010-09-30,9.779743194580078
2010-10-01,9.682029724121094
2010-10-04,9.702385902404785
2010-10-05,9.87338638305664
2010-10-06,9.946674346923828
2010-10-07,10.003677368164062
2010-10-08,9.979248046875
2010-10-11,9.914104461669922
2010-10-12,9.991464614868164
2010-10-13,10.02403450012207
2010-10-14,10.097318649291992
2010-10-15,10.129894256591797
2010-10-18,10.138040542602539
2010-10-19,10.07696533203125
2010-10-20,10.146180152893066
2010-10-21,10.158394813537598
2010-10-22,10.146180152893066
2010-10-25,10.203182220458984
2010-10-26,10.26017951965332
2010-10-27,10.223539352416992
2010-10-28,10.317181587219238
2010-10-29,10.349756240844727
2010-11-01,10.32939624786377
2010-11-02,10.41082763671875
2010-11-03,10.48818588256836
