Date,A
2010-08-17,18.645294189453125
2010-08-18,18.747182846069336
2010-08-19,18.17406463623047
2010-08-20,18.186800003051758
2010-08-23,17.804729461669922
2010-08-24,17.422664642333984
2010-08-25,17.632793426513672
2010-08-26,17.518173217773438
2010-08-27,17.804729461669922
2010-08-30,17.626428604125977
2010-08-31,17.174306869506836
2010-09-01,18.01487159729004
2010-09-02,18.600725173950195
2010-09-03,19.00827407836914
2010-09-07,18.460630416870117
2010-09-08,18.36511993408203
2010-09-09,18.42242431640625
2010-09-10,18.409685134887695
2010-09-13,18.549781799316406
2010-09-14,18.575252532958984
2010-09-15,18.728073120117188
2010-09-16,19.129257202148438
2010-09-17,19.454025268554688
2010-09-20,19.759679794311523
2010-09-21,19.836109161376953
2010-09-22,19.587753295898438
2010-09-23,19.46039581298828
2010-09-24,20.434690475463867
2010-09-27,20.37737274169922
2010-09-28,20.593889236450195
