Date,CSCO
2010-09-29,14.312637329101562
2010-09-30,14.33227252960205
2010-10-01,14.338818550109863
2010-10-04,14.240654945373535
2010-10-05,14.391173362731934
2010-10-06,14.594048500061035
2010-10-07,14.652950286865234
2010-10-08,14.711846351623535
2010-10-11,14.70530891418457
2010-10-12,14.803471565246582
2010-10-13,15.169965744018555
2010-10-14,15.097970008850098
2010-10-15,15.287755966186523
2010-10-18,15.248496055603027
2010-10-19,15.032532691955566
2010-10-20,15.313939094543457
2010-10-21,15.22231388092041
2010-10-22,15.366294860839844
2010-10-25,15.451374053955078
2010-10-26,15.313939094543457
2010-10-27,15.241950988769531
2010-10-28,15.176502227783203
2010-10-29,14.960537910461426
2010-11-01,14.999805450439453
2010-11-02,15.163414001464844
2010-11-03,15.516816139221191
