Date,BEN
2010-09-29,20.3056697845459
2010-09-30,20.326581954956055
2010-10-01,20.51862907409668
2010-10-04,20.311368942260742
2010-10-05,21.302038192749023
2010-10-06,21.399003982543945
2010-10-07,21.43703842163086
2010-10-08,21.558719635009766
2010-10-11,21.560625076293945
2010-10-12,21.961841583251953
2010-10-13,22.243249893188477
2010-10-14,22.09303855895996
2010-10-15,22.13488006591797
2010-10-18,22.163394927978516
2010-10-19,21.60246467590332
2010-10-20,22.079727172851562
2010-10-21,21.994171142578125
2010-10-22,22.03219223022461
2010-10-25,22.015079498291016
2010-10-26,22.053104400634766
2010-10-27,22.058813095092773
2010-10-28,21.830638885498047
2010-10-29,21.80971336364746
2010-11-01,22.269872665405273
2010-11-02,22.555086135864258
2010-11-03,22.735742568969727
