Date,PARA
2010-09-29,12.191084861755371
2010-09-30,12.221911430358887
2010-10-01,12.622629165649414
2010-10-04,12.630335807800293
2010-10-05,12.838403701782227
2010-10-06,13.177472114562988
2010-10-07,13.08499813079834
2010-10-08,13.277647972106934
2010-10-11,13.493423461914062
2010-10-12,13.793957710266113
2010-10-13,13.763139724731445
2010-10-14,13.508830070495605
2010-10-15,13.5165433883667
2010-10-18,13.478010177612305
2010-10-19,13.192882537841797
2010-10-20,13.48571491241455
2010-10-21,13.308475494384766
2010-10-22,13.239118576049805
2010-10-25,13.30076789855957
2010-10-26,13.162059783935547
2010-10-27,12.969405174255371
2010-10-28,12.992522239685059
2010-10-29,13.046467781066895
2010-11-01,13.146645545959473
2010-11-02,13.370123863220215
2010-11-03,13.323890686035156
