Date,IBM
2010-09-29,76.57025909423828
2010-09-30,75.81291961669922
2010-10-01,76.66067504882812
2010-10-04,76.44023132324219
2010-10-05,77.80233001708984
2010-10-06,77.90406036376953
2010-10-07,78.40139770507812
2010-10-08,78.47488403320312
2010-10-11,78.93267059326172
2010-10-12,79.0400619506836
2010-10-13,79.33397674560547
2010-10-14,79.97260284423828
2010-10-15,79.72393798828125
2010-10-18,80.72430419921875
2010-10-19,78.01146697998047
2010-10-20,78.59922790527344
2010-10-21,79.02879333496094
2010-10-22,78.93833923339844
2010-10-25,79.03441619873047
2010-10-26,79.50347900390625
2010-10-27,79.93305206298828
2010-10-28,79.63346862792969
2010-10-29,81.15948486328125
2010-11-01,81.00126647949219
2010-11-02,81.29512023925781
2010-11-03,81.48165130615234
2010-11-04,82.96240997314453
