Date,SWK
2010-09-29,42.36810302734375
2010-09-30,42.73775100708008
2010-10-01,43.25381851196289
2010-10-04,43.211978912353516
2010-10-05,43.68622589111328
2010-10-06,43.3375244140625
2010-10-07,43.17015075683594
2010-10-08,43.72807312011719
2010-10-11,43.74899673461914
2010-10-12,43.91637420654297
2010-10-13,44.47430419921875
2010-10-14,43.930335998535156
2010-10-15,43.330543518066406
2010-10-18,44.31391143798828
2010-10-19,43.49094772338867
2010-10-20,42.7656364440918
2010-10-21,41.94268035888672
2010-10-22,42.61918258666992
2010-10-25,42.40296936035156
2010-10-26,41.88689422607422
2010-10-27,41.87991714477539
2010-10-28,42.45179748535156
2010-10-29,43.21896743774414
2010-11-01,42.69590377807617
2010-11-02,42.940006256103516
2010-11-03,43.10737991333008
2010-11-04,43.797821044921875
