Date,TSCO
2010-09-17,3.12803053855896
2010-09-20,3.2093639373779297
2010-09-21,3.2052154541015625
2010-09-22,3.1529290676116943
2010-09-23,3.151268720626831
2010-09-24,3.2027249336242676
2010-09-27,3.1828067302703857
2010-09-28,3.2865488529205322
2010-09-29,3.2550108432769775
2010-09-30,3.2915284633636475
2010-10-01,3.2533504962921143
2010-10-04,3.2052154541015625
2010-10-05,3.230942726135254
2010-10-06,3.2409017086029053
2010-10-07,3.238412618637085
2010-10-08,3.201894998550415
2010-10-11,3.225963592529297
2010-10-12,3.3172569274902344
2010-10-13,3.3006579875946045
2010-10-14,3.295677661895752
2010-10-15,3.289868116378784
2010-10-18,3.208533763885498
2010-10-19,3.169527530670166
2010-10-20,3.1529290676116943
2010-10-21,3.1106021404266357
2010-10-22,3.180316925048828
