Date,EQR
2010-09-29,24.555559158325195
2010-09-30,24.648822784423828
2010-10-01,24.778362274169922
2010-10-04,24.990808486938477
2010-10-05,25.332796096801758
2010-10-06,25.172164916992188
2010-10-07,25.135902404785156
2010-10-08,25.198078155517578
2010-10-11,25.1566219329834
2010-10-12,25.638505935668945
2010-10-13,25.88204002380371
2010-10-14,25.783594131469727
2010-10-15,25.88204002380371
2010-10-18,26.25510597229004
2010-10-19,26.032316207885742
2010-10-20,26.69036865234375
2010-10-21,26.69036865234375
2010-10-22,26.338027954101562
2010-10-25,26.1618595123291
2010-10-26,25.98567008972168
2010-10-27,25.799131393432617
2010-10-28,25.260257720947266
2010-10-29,25.198078155517578
2010-11-01,25.353519439697266
2010-11-02,25.33797836303711
2010-11-03,25.3068904876709
2010-11-04,26.12038803100586
