Date,CME
2010-09-29,28.214183807373047
2010-09-30,28.312015533447266
2010-10-01,28.26417350769043
2010-10-04,28.252220153808594
2010-10-05,29.09250831604004
2010-10-06,29.050121307373047
2010-10-07,28.683786392211914
2010-10-08,28.521818161010742
2010-10-11,28.21635627746582
2010-10-12,28.716398239135742
2010-10-13,28.67291259765625
2010-10-14,28.799009323120117
2010-10-15,29.07946014404297
2010-10-18,30.531749725341797
2010-10-19,30.520896911621094
2010-10-20,30.521968841552734
2010-10-21,30.68177032470703
2010-10-22,30.83831214904785
2010-10-25,30.7611141204834
2010-10-26,30.494789123535156
2010-10-27,30.703523635864258
2010-10-28,31.458995819091797
2010-10-29,31.486186981201172
2010-11-01,31.1981143951416
2010-11-02,31.410079956054688
2010-11-03,31.47966194152832
2010-11-04,32.29819869995117
