Date,WTW
2010-12-10,67.75066375732422
2010-12-13,67.71076965332031
2010-12-14,68.12983703613281
2010-12-15,67.83047485351562
2010-12-16,67.6907958984375
2010-12-17,68.10991668701172
2010-12-20,67.91031646728516
2010-12-21,68.349365234375
2010-12-22,68.728515625
2010-12-23,68.84829711914062
2010-12-27,68.60880279541016
2010-12-28,69.0677719116211
2010-12-29,69.55034637451172
2010-12-30,69.6911392211914
2010-12-31,69.63078308105469
2011-01-03,70.69647216796875
2011-01-04,69.51013946533203
2011-01-05,70.47525787353516
2011-01-06,70.67632293701172
2011-01-07,70.5556869506836
2011-01-10,70.73666381835938
2011-01-11,70.41497039794922
2011-01-12,70.69647216796875
2011-01-13,70.35464477539062
2011-01-14,71.40019989013672
2011-01-18,71.48062133789062
2011-01-19,71.27955627441406
2011-01-20,71.27955627441406
2011-01-21,70.83720397949219
2011-01-24,72.14415740966797
2011-01-25,73.51142120361328
2011-01-26,75.05968475341797
2011-01-27,76.32644653320312
2011-01-28,76.08513641357422
2011-01-31,75.5623550415039
2011-02-01,75.48194885253906
2011-02-02,74.39616394042969
2011-02-03,74.65754699707031
2011-02-04,75.40150451660156
2011-02-07,75.44172668457031
2011-02-08,75.76346588134766
2011-02-09,76.58783721923828
2011-02-10,76.4068603515625
2011-02-11,77.33177947998047
2011-02-14,77.41220092773438
2011-02-15,78.01542663574219
2011-02-16,78.69904327392578
2011-02-17,78.63874816894531
2011-02-18,79.78485870361328
2011-02-22,78.2566909790039
2011-02-23,76.86932373046875
2011-02-24,77.01007843017578
2011-02-25,77.81434631347656
2011-02-28,78.1963882446289
2011-03-01,77.71382141113281
2011-03-02,77.17090606689453
2011-03-03,77.95508575439453
2011-03-04,77.41220092773438
2011-03-07,76.56771087646484
2011-03-08,76.768798828125
2011-03-09,76.4671859741211
2011-03-10,76.12532806396484
2011-03-11,78.0556411743164
2011-03-14,78.83983612060547
2011-03-15,78.35724639892578
2011-03-16,78.17628479003906
2011-03-17,78.41755676269531
2011-03-18,78.11595916748047
2011-03-21,79.10120391845703
2011-03-22,79.181640625
2011-03-23,79.94570922851562
2011-03-24,79.24197387695312
2011-03-25,79.96578216552734
2011-03-28,79.60387420654297
2011-03-29,79.82653045654297
2011-03-30,80.91946411132812
2011-03-31,81.6886215209961
2011-04-01,82.25531005859375
2011-04-04,81.50643157958984
2011-04-05,82.09339141845703
2011-04-06,82.49819946289062
2011-04-07,82.8423080444336
2011-04-08,81.48625183105469
2011-04-11,81.58740997314453
2011-04-12,81.40523529052734
2011-04-13,81.5671615600586
2011-04-14,81.66838836669922
2011-04-15,81.36476135253906
2011-04-18,81.24333953857422
2011-04-19,81.24333953857422
2011-04-20,81.66838836669922
2011-04-21,81.9719467163086
2011-04-25,81.87075805664062
2011-04-26,82.9029769897461
2011-04-27,82.72084045410156
2011-04-28,84.1578598022461
2011-04-29,83.63166046142578
2011-05-02,84.01618194580078
2011-05-03,84.62338256835938
2011-05-04,82.86251068115234
2011-05-05,81.54692077636719
2011-05-06,82.33626556396484
2011-05-09,81.5671615600586
2011-05-10,82.15411376953125
2011-05-11,82.53868865966797
2011-05-12,82.70059967041016
2011-05-13,82.61962127685547
2011-05-16,81.78981018066406
2011-05-17,81.02069091796875
2011-05-18,81.50643157958984
2011-05-19,81.22306060791016
2011-05-20,80.69683074951172
2011-05-23,79.9884262084961
2011-05-24,80.04916381835938
2011-05-25,81.48625183105469
2011-05-26,82.39700317382812
2011-05-27,83.08515930175781
2011-05-31,83.99595642089844
2011-06-01,84.1174087524414
2011-06-02,85.08892059326172
2011-06-03,85.43296813964844
2011-06-06,84.94725799560547
2011-06-07,85.00794982910156
2011-06-08,84.23881530761719
2011-06-09,84.64364624023438
2011-06-10,83.18634796142578
2011-06-13,83.12562561035156
2011-06-14,84.01618194580078
2011-06-15,82.55888366699219
2011-06-16,81.95174407958984
2011-06-17,81.24333953857422
2011-06-20,80.7778091430664
2011-06-21,81.7695541381836
2011-06-22,80.85875701904297
2011-06-23,80.55513763427734
2011-06-24,80.57540130615234
2011-06-27,80.47420501708984
2011-06-28,80.96319580078125
2011-06-29,82.59302520751953
2011-06-30,83.7542953491211
2011-07-01,83.99874877929688
2011-07-05,83.87653350830078
2011-07-06,84.4469985961914
2011-07-07,85.18041229248047
2011-07-08,84.85443878173828
2011-07-11,83.9784164428711
2011-07-12,84.32475280761719
2011-07-13,83.44866943359375
2011-07-14,82.38925170898438
2011-07-15,81.73735046386719
2011-07-18,80.55571746826172
2011-07-19,80.29085540771484
2011-07-20,79.59815979003906
2011-07-21,80.71867370605469
2011-07-22,81.43174743652344
2011-07-25,80.77983093261719
2011-07-26,81.65583801269531
2011-07-27,82.81710815429688
2011-07-28,82.38925170898438
2011-07-29,83.407958984375
2011-08-01,82.12442016601562
2011-08-02,81.20762634277344
2011-08-03,81.57434844970703
2011-08-04,77.15339660644531
2011-08-05,75.70684051513672
2011-08-08,68.88186645507812
2011-08-09,72.93608856201172
2011-08-10,70.6339111328125
2011-08-11,74.44373321533203
2011-08-12,74.19925689697266
2011-08-15,76.23658752441406
2011-08-16,76.15507507324219
2011-08-17,76.15507507324219
2011-08-18,73.36394500732422
2011-08-19,73.16021728515625
2011-08-22,72.83424377441406
2011-08-23,74.30111694335938
2011-08-24,75.34014892578125
2011-08-25,75.97171020507812
2011-08-26,77.72383880615234
2011-08-29,78.49797821044922
2011-08-30,78.02941131591797
2011-08-31,79.72039031982422
2011-09-01,78.6813735961914
2011-09-02,76.8070297241211
2011-09-06,75.76799011230469
2011-09-07,77.23484802246094
2011-09-08,76.31808471679688
2011-09-09,74.26036071777344
2011-09-12,73.16021728515625
2011-09-13,72.69164276123047
2011-09-14,72.36566162109375
2011-09-15,72.91573333740234
2011-09-16,73.8732681274414
2011-09-19,73.32318878173828
2011-09-20,72.36566162109375
2011-09-21,69.90052032470703
2011-09-22,68.6577377319336
2011-09-23,68.14839172363281
2011-09-26,69.59489440917969
2011-09-27,71.16362762451172
2011-09-28,69.27523040771484
2011-09-29,71.1225814819336
2011-09-30,70.54788208007812
2011-10-03,69.02893829345703
2011-10-04,71.1225814819336
2011-10-05,71.79994201660156
2011-10-06,72.68256378173828
2011-10-07,71.5536117553711
2011-10-10,74.57099151611328
2011-10-11,72.49784851074219
2011-10-12,73.66779327392578
2011-10-13,74.8172607421875
