Date,NEM
2010-09-29,45.697509765625
2010-09-30,44.918006896972656
2010-10-01,45.5401725769043
2010-10-04,44.86794662475586
2010-10-05,45.53303146362305
2010-10-06,46.2839241027832
2010-10-07,45.075340270996094
2010-10-08,44.975223541259766
2010-10-11,44.72492218017578
2010-10-12,44.33873748779297
2010-10-13,45.182613372802734
2010-10-14,44.72492218017578
2010-10-15,44.252933502197266
2010-10-18,44.689170837402344
2010-10-19,42.858402252197266
2010-10-20,43.25171661376953
2010-10-21,42.35064697265625
2010-10-22,42.457923889160156
2010-10-25,42.457923889160156
2010-10-26,42.52229309082031
2010-10-27,41.76422882080078
2010-10-28,42.7725944519043
2010-10-29,43.52347946166992
2010-11-01,43.788082122802734
2010-11-02,42.82979202270508
2010-11-03,42.271968841552734
