Date,PHM
2010-09-28,7.5797882080078125
2010-09-29,7.485573768615723
2010-09-30,7.502706050872803
2010-10-01,7.477010250091553
2010-10-04,7.399925231933594
2010-10-05,7.365671634674072
2010-10-06,7.2628936767578125
2010-10-07,7.18580961227417
2010-10-08,7.048774242401123
2010-10-11,7.014514446258545
2010-10-12,7.091596603393555
2010-10-13,7.005948543548584
2010-10-14,6.9203033447265625
2010-10-15,6.826091766357422
2010-10-18,7.031642436981201
2010-10-19,7.057339191436768
2010-10-20,6.9631266593933105
2010-10-21,6.928866863250732
2010-10-22,7.057339191436768
2010-10-25,6.9459967613220215
2010-10-26,6.826091766357422
2010-10-27,6.8003973960876465
2010-10-28,6.731878757476807
2010-10-29,6.723312854766846
2010-11-01,6.671926021575928
2010-11-02,6.911736965179443
