Date,FCX
2010-09-29,31.357500076293945
2010-09-30,31.062837600708008
2010-10-01,32.423362731933594
2010-10-04,31.732192993164062
2010-10-05,33.16910171508789
2010-10-06,34.05671310424805
2010-10-07,33.249141693115234
2010-10-08,34.74425506591797
2010-10-11,34.69696044921875
2010-10-12,34.715152740478516
2010-10-13,36.15660095214844
2010-10-14,36.12375259399414
2010-10-15,35.78073501586914
2010-10-18,35.14211654663086
2010-10-19,33.835689544677734
2010-10-20,34.79542922973633
2010-10-21,35.189552307128906
2010-10-22,34.32103729248047
2010-10-25,35.058170318603516
2010-10-26,35.864654541015625
2010-10-27,34.85016632080078
2010-10-28,34.846527099609375
2010-10-29,34.591087341308594
2010-11-01,35.12022018432617
2010-11-02,35.63840866088867
2010-11-03,35.43040084838867
