Date,BXP
2010-09-29,47.47486114501953
2010-09-30,47.27010726928711
2010-10-01,47.56584167480469
2010-10-04,47.52603530883789
2010-10-05,48.38475036621094
2010-10-06,48.23122787475586
2010-10-07,48.333580017089844
2010-10-08,48.25965118408203
2010-10-11,48.37907791137695
2010-10-12,48.82265853881836
2010-10-13,49.380001068115234
2010-10-14,49.573360443115234
2010-10-15,49.453914642333984
2010-10-18,50.30128479003906
2010-10-19,49.93730545043945
2010-10-20,51.120208740234375
2010-10-21,51.26239013671875
2010-10-22,51.46710205078125
2010-10-25,51.597904205322266
2010-10-26,51.108829498291016
2010-10-27,49.670021057128906
2010-10-28,49.05012893676758
2010-10-29,49.01603317260742
2010-11-01,49.0899658203125
2010-11-02,49.70414733886719
2010-11-03,49.675716400146484
