Date,ROP
2010-09-29,59.80837631225586
2010-09-30,59.72590255737305
2010-10-01,60.48645782470703
2010-10-04,59.54264831542969
2010-10-05,61.182857513427734
2010-10-06,61.43522644042969
2010-10-07,61.040653228759766
2010-10-08,60.85710144042969
2010-10-11,60.96721649169922
2010-10-12,60.74699783325195
2010-10-13,61.78391647338867
2010-10-14,61.297576904296875
2010-10-15,61.52695846557617
2010-10-18,62.46297836303711
2010-10-19,60.7286262512207
2010-10-20,61.9123649597168
2010-10-21,63.48151779174805
2010-10-22,63.775184631347656
2010-10-25,64.58269500732422
2010-10-26,64.62857055664062
2010-10-27,63.64670181274414
2010-10-28,63.848602294921875
2010-10-29,63.7109375
2010-11-01,64.01374053955078
2010-11-02,64.62857055664062
2010-11-03,64.47257232666016
2010-11-04,66.20684051513672
