Date,CPT
2015-01-23,53.04148483276367
2015-01-26,53.86016082763672
2015-01-27,53.760345458984375
2015-01-28,53.15462875366211
2015-01-29,52.841796875
2015-01-30,51.284297943115234
2015-02-02,51.03138732910156
2015-02-03,51.61709976196289
2015-02-04,51.24436569213867
2015-02-05,51.42407989501953
2015-02-06,50.046295166015625
2015-02-09,49.939796447753906
2015-02-10,50.032981872558594
2015-02-11,49.91316604614258
2015-02-12,50.76515197753906
2015-02-13,50.079566955566406
2015-02-17,49.95310592651367
2015-02-18,50.465606689453125
2015-02-19,49.49385070800781
2015-02-20,50.36577224731445
2015-02-23,50.08622360229492
2015-02-24,48.7883186340332
2015-02-25,48.50210952758789
2015-02-26,48.169315338134766
2015-02-27,48.44886779785156
2015-03-02,48.66851043701172
2015-03-03,48.675140380859375
2015-03-04,48.33572006225586
2015-03-05,48.96135330200195
2015-03-06,48.76834487915039
2015-03-09,49.70682907104492
2015-03-10,50.119510650634766
2015-03-11,49.70682907104492
2015-03-12,50.33916091918945
2015-03-13,50.33916091918945
2015-03-16,51.0180778503418
2015-03-17,51.011409759521484
2015-03-18,51.87668228149414
2015-03-19,51.82341766357422
2015-03-20,53.65382766723633
2015-03-23,53.56064224243164
2015-03-24,52.98158264160156
2015-03-25,52.19618606567383
2015-03-26,51.936588287353516
2015-03-27,52.03733444213867
2015-03-30,52.876853942871094
2015-03-31,52.4738883972168
2015-04-01,52.1380729675293
2015-04-02,52.735809326171875
2015-04-06,53.132080078125
2015-04-07,52.722389221191406
2015-04-08,52.97758865356445
2015-04-09,51.54705047607422
2015-04-10,51.46644592285156
2015-04-13,51.05678176879883
2015-04-14,51.459754943847656
2015-04-15,50.94258117675781
2015-04-16,51.23137664794922
2015-04-17,51.023189544677734
2015-04-20,51.0702018737793
2015-04-21,51.54705047607422
2015-04-22,52.0507698059082
2015-04-23,52.010475158691406
2015-04-24,51.89628601074219
2015-04-27,52.151512145996094
2015-04-28,52.01718521118164
2015-04-29,51.23137664794922
2015-04-30,50.4254264831543
2015-05-01,50.3515625
2015-05-04,50.707523345947266
2015-05-05,49.32398223876953
2015-05-06,49.606075286865234
2015-05-07,50.41202163696289
2015-05-08,50.88213348388672
2015-05-11,50.0425910949707
2015-05-12,50.331417083740234
2015-05-13,49.673213958740234
2015-05-14,50.40528869628906
2015-05-15,51.144065856933594
2015-05-18,50.620201110839844
2015-05-19,50.92243576049805
2015-05-20,50.95603561401367
2015-05-21,50.76795196533203
2015-05-22,50.72766876220703
2015-05-26,50.331417083740234
2015-05-27,50.86871337890625
2015-05-28,51.0634765625
2015-05-29,50.35828399658203
2015-06-01,51.0433235168457
2015-06-02,50.35828399658203
2015-06-03,49.45157241821289
2015-06-04,49.458290100097656
2015-06-05,49.41800308227539
2015-06-08,49.411285400390625
2015-06-09,49.04860305786133
2015-06-10,49.545597076416016
2015-06-11,50.183658599853516
2015-06-12,50.47915267944336
2015-06-15,50.22394943237305
2015-06-16,50.909019470214844
2015-06-17,51.15079116821289
2015-06-18,52.20524597167969
2015-06-19,51.58733367919922
2015-06-22,51.24482727050781
2015-06-23,50.720943450927734
2015-06-24,50.3985710144043
2015-06-25,50.17694091796875
2015-06-26,50.67864227294922
2015-06-29,50.23796463012695
2015-06-30,50.36000061035156
2015-07-01,51.44474411010742
2015-07-02,51.78372573852539
2015-07-06,51.93289566040039
2015-07-07,52.3193473815918
2015-07-08,52.12271499633789
2015-07-09,52.346473693847656
