Date,EQT
2010-09-29,17.36362648010254
2010-09-30,17.4022274017334
2010-10-01,17.571136474609375
2010-10-04,17.47462272644043
2010-10-05,17.76417350769043
2010-10-06,18.034425735473633
2010-10-07,17.937910079956055
2010-10-08,17.995811462402344
2010-10-11,18.005468368530273
2010-10-12,17.92826271057129
2010-10-13,18.377065658569336
2010-10-14,18.295024871826172
2010-10-15,18.319154739379883
2010-10-18,18.502540588378906
2010-10-19,18.275720596313477
2010-10-20,18.338464736938477
2010-10-21,18.03925323486328
2010-10-22,18.058551788330078
2010-10-25,18.08268928527832
2010-10-26,17.933082580566406
2010-10-27,17.744874954223633
2010-10-28,17.981340408325195
2010-10-29,18.068214416503906
2010-11-01,17.942733764648438
2010-11-02,18.30950355529785
2010-11-03,18.324060440063477
