Date,CVS
2010-09-29,21.704130172729492
2010-09-30,21.828990936279297
2010-10-01,22.044023513793945
2010-10-04,21.801246643066406
2010-10-05,22.23824119567871
2010-10-06,22.481019973754883
2010-10-07,22.182758331298828
2010-10-08,21.676393508911133
2010-10-11,21.537660598754883
2010-10-12,21.468297958374023
2010-10-13,21.946910858154297
2010-10-14,21.676393508911133
2010-10-15,21.718013763427734
2010-10-18,21.676393508911133
2010-10-19,21.19084358215332
2010-10-20,21.585969924926758
2010-10-21,21.739015579223633
2010-10-22,21.815526962280273
2010-10-25,21.725093841552734
2010-10-26,21.40510368347168
2010-10-27,21.453798294067383
2010-10-28,21.328575134277344
2010-10-29,20.959890365600586
2010-11-01,20.799888610839844
2010-11-02,21.238143920898438
2010-11-03,21.474660873413086
2010-11-04,21.91987419128418
