Date,ARE
2010-09-29,42.491600036621094
2010-09-30,42.72352600097656
2010-10-01,43.36439514160156
2010-10-04,43.6024055480957
2010-10-05,44.15781021118164
2010-10-06,43.44981384277344
2010-10-07,43.0836181640625
2010-10-08,43.39488983154297
2010-10-11,43.68785858154297
2010-10-12,43.510860443115234
2010-10-13,44.35924530029297
2010-10-14,44.81698226928711
2010-10-15,44.71323013305664
2010-10-18,45.817935943603516
2010-10-19,45.00009536743164
2010-10-20,45.59819793701172
2010-10-21,45.61042022705078
2010-10-22,45.73859786987305
2010-10-25,45.634822845458984
2010-10-26,45.10383224487305
2010-10-27,45.201480865478516
2010-10-28,44.81698226928711
2010-10-29,44.84751510620117
2010-11-01,44.88412094116211
2010-11-02,45.65315246582031
2010-11-03,45.21370315551758
2010-11-04,45.201480865478516
