Date,TMUS
2010-09-29,16.936424255371094
2010-09-30,16.88799285888672
2010-10-01,17.646825790405273
2010-10-04,17.453075408935547
2010-10-05,17.71140480041504
2010-10-06,17.856712341308594
2010-10-07,17.646825790405273
2010-10-08,17.69525718688965
2010-10-11,17.420787811279297
2010-10-12,17.37234878540039
2010-10-13,17.80827522277832
2010-10-14,16.80726432800293
2010-10-15,17.194751739501953
2010-10-18,17.50151252746582
2010-10-19,17.017152786254883
2010-10-20,17.25933074951172
2010-10-21,16.88799285888672
2010-10-22,17.130172729492188
2010-10-25,17.001007080078125
2010-10-26,17.065589904785156
2010-10-27,16.613521575927734
2010-10-28,16.6781005859375
2010-10-29,16.791120529174805
2010-11-01,16.968719482421875
2010-11-02,17.40464210510254
2010-11-03,17.50151252746582
