Date,DHI
2010-09-29,9.50800895690918
2010-09-30,9.490937232971191
2010-10-01,9.45680046081543
2010-10-04,9.371450424194336
2010-10-05,9.251960754394531
2010-10-06,9.22635269165039
2010-10-07,9.081258773803711
2010-10-08,9.175146102905273
2010-10-11,8.995905876159668
2010-10-12,9.149541854858398
2010-10-13,9.200748443603516
2010-10-14,9.106863021850586
2010-10-15,8.95323371887207
2010-10-18,8.995905876159668
2010-10-19,8.859345436096191
2010-10-20,8.85081672668457
2010-10-21,9.072723388671875
2010-10-22,9.055656433105469
2010-10-25,9.115400314331055
2010-10-26,8.995905876159668
2010-10-27,9.030047416687012
2010-10-28,8.876419067382812
2010-10-29,8.902026176452637
2010-11-01,8.961766242980957
2010-11-02,9.439726829528809
2010-11-03,9.32024097442627
