Date,LEN
2010-09-29,12.875141143798828
2010-09-30,12.993415832519531
2010-10-01,13.238415718078613
2010-10-04,12.976520538330078
2010-10-05,13.069448471069336
2010-10-06,13.01876163482666
2010-10-07,12.984968185424805
2010-10-08,13.618590354919434
2010-10-11,13.762207984924316
2010-10-12,13.46579360961914
2010-10-13,13.423446655273438
2010-10-14,13.550482749938965
2010-10-15,12.974588394165039
2010-10-18,12.822144508361816
2010-10-19,12.517260551452637
2010-10-20,12.186969757080078
2010-10-21,12.483379364013672
2010-10-22,12.551135063171387
2010-10-25,12.618885040283203
2010-10-26,12.618885040283203
2010-10-27,12.43256664276123
2010-10-28,12.356345176696777
2010-10-29,12.288594245910645
2010-11-01,12.330939292907715
2010-11-02,13.237129211425781
2010-11-03,13.084680557250977
2010-11-04,13.389571189880371
