Date,SPG
2010-05-27,42.46778869628906
2010-05-28,41.77988052368164
2010-06-01,41.67178726196289
2010-06-02,42.546382904052734
2010-06-03,42.320377349853516
2010-06-04,40.045406341552734
2010-06-07,39.78497314453125
2010-06-08,40.37459945678711
2010-06-09,40.384429931640625
2010-06-10,42.16804885864258
2010-06-11,42.78717041015625
2010-06-14,43.44065475463867
2010-06-15,44.44794464111328
2010-06-16,43.9516487121582
2010-06-17,43.72564697265625
2010-06-18,43.93202590942383
2010-06-21,43.661746978759766
2010-06-22,42.05503463745117
2010-06-23,42.325294494628906
2010-06-24,41.25904083251953
2010-06-25,42.511985778808594
2010-06-28,41.75040054321289
2010-06-29,40.20263671875
2010-06-30,39.676883697509766
2010-07-01,39.82428741455078
2010-07-02,38.8563346862793
2010-07-06,37.97187805175781
2010-07-07,39.91765213012695
2010-07-08,40.14859390258789
2010-07-09,40.61537551879883
2010-07-12,40.76277542114258
2010-07-13,41.799537658691406
2010-07-14,41.553863525390625
2010-07-15,41.71108627319336
2010-07-16,40.40409469604492
2010-07-19,40.95930862426758
2010-07-20,41.460506439208984
2010-07-21,40.46795654296875
2010-07-22,42.41863250732422
2010-07-23,42.90015411376953
2010-07-26,43.76496124267578
2010-07-27,43.86812973022461
2010-07-28,43.794437408447266
2010-07-29,43.204795837402344
2010-07-30,43.83866882324219
2010-08-02,45.956382751464844
2010-08-03,45.77460479736328
2010-08-04,46.40842819213867
2010-08-05,45.759857177734375
2010-08-06,45.61736297607422
2010-08-09,46.02519226074219
2010-08-10,45.48468780517578
2010-08-11,44.53639602661133
2010-08-12,44.040122985839844
2010-08-13,44.15387725830078
2010-08-16,44.22314453125
2010-08-17,45.365821838378906
2010-08-18,45.44001388549805
2010-08-19,44.21819305419922
2010-08-20,44.01042938232422
2010-08-23,43.54545593261719
2010-08-24,43.6542854309082
2010-08-25,44.23796844482422
2010-08-26,43.97579574584961
2010-08-27,44.77717590332031
2010-08-30,44.40617370605469
2010-08-31,44.74252700805664
2010-09-01,46.28095626831055
2010-09-02,47.17133712768555
2010-09-03,47.72537612915039
2010-09-07,46.760772705078125
2010-09-08,46.948760986328125
2010-09-09,46.607421875
2010-09-10,46.919071197509766
2010-09-13,46.983375549316406
2010-09-14,46.666805267333984
2010-09-15,47.2010383605957
2010-09-16,46.79044723510742
2010-09-17,47.15156555175781
2010-09-20,48.101322174072266
2010-09-21,47.626426696777344
2010-09-22,47.141666412353516
2010-09-23,45.895111083984375
2010-09-24,47.111976623535156
2010-09-27,46.419456481933594
2010-09-28,46.43430709838867
2010-09-29,46.023719787597656
2010-09-30,45.87532043457031
2010-10-01,46.295780181884766
2010-10-04,46.65688705444336
2010-10-05,47.299957275390625
2010-10-06,47.2208137512207
2010-10-07,47.32963943481445
2010-10-08,47.270267486572266
2010-10-11,47.3543815612793
2010-10-12,47.70558547973633
2010-10-13,48.05185317993164
2010-10-14,47.854000091552734
2010-10-15,48.220027923583984
2010-10-18,48.58607864379883
2010-10-19,47.54730224609375
2010-10-20,48.57619094848633
2010-10-21,48.462440490722656
2010-10-22,48.323936462402344
2010-10-25,48.427818298339844
2010-10-26,48.066688537597656
2010-10-27,47.87377166748047
2010-10-28,47.6858024597168
2010-10-29,47.49785232543945
2010-11-01,48.78396987915039
2010-11-02,49.748558044433594
2010-11-03,49.901893615722656
2010-11-04,51.36611557006836
