Date,JKHY
2010-09-29,21.07000160217285
2010-09-30,21.144624710083008
2010-10-01,21.277297973632812
2010-10-04,21.169496536254883
2010-10-05,21.575817108154297
2010-10-06,21.401674270629883
2010-10-07,21.451433181762695
2010-10-08,21.52606201171875
2010-10-11,21.567514419555664
2010-10-12,21.575817108154297
2010-10-13,21.832868576049805
2010-10-14,21.857738494873047
2010-10-15,21.940656661987305
2010-10-18,21.932371139526367
2010-10-19,21.716779708862305
2010-10-20,21.948949813842773
2010-10-21,21.932371139526367
2010-10-22,22.015287399291992
2010-10-25,22.33039093017578
2010-10-26,22.355268478393555
2010-10-27,22.388429641723633
2010-10-28,22.413299560546875
2010-10-29,22.52109718322754
2010-11-01,22.57086181640625
2010-11-02,22.744985580444336
2010-11-03,23.051790237426758
2010-11-04,23.283966064453125
