Date,GPN
2010-09-29,20.158594131469727
2010-09-30,20.357954025268555
2010-10-01,19.968732833862305
2010-10-04,19.769380569458008
2010-10-05,19.888042449951172
2010-10-06,19.826343536376953
2010-10-07,19.83108901977539
2010-10-08,19.94974708557129
2010-10-11,20.096891403198242
2010-10-12,18.464088439941406
2010-10-13,18.397621154785156
2010-10-14,18.316936492919922
2010-10-15,18.464088439941406
2010-10-18,18.544775009155273
2010-10-19,18.212512969970703
2010-10-20,18.23150062561035
2010-10-21,18.245737075805664
2010-10-22,18.653942108154297
2010-10-25,18.910253524780273
2010-10-26,18.919750213623047
2010-10-27,18.653942108154297
2010-10-28,18.51628875732422
2010-10-29,18.492557525634766
2010-11-01,18.492557525634766
2010-11-02,18.834312438964844
2010-11-03,18.824810028076172
