Date,ETN
2010-09-29,28.359935760498047
2010-09-30,28.298173904418945
2010-10-01,28.3118953704834
2010-10-04,27.88652229309082
2010-10-05,28.617229461669922
2010-10-06,28.50400733947754
2010-10-07,28.466279983520508
2010-10-08,28.545169830322266
2010-10-11,28.363365173339844
2010-10-12,28.401098251342773
2010-10-13,28.847064971923828
2010-10-14,28.692684173583984
2010-10-15,28.775028228759766
2010-10-18,28.919099807739258
2010-10-19,28.613792419433594
2010-10-20,29.78359031677246
2010-10-21,30.219266891479492
2010-10-22,30.143789291381836
2010-10-25,30.274137496948242
2010-10-26,30.02715492248535
2010-10-27,29.961973190307617
2010-10-28,30.208972930908203
2010-10-29,30.473121643066406
2010-11-01,30.349618911743164
2010-11-02,31.046003341674805
2010-11-03,31.461109161376953
