Date,WRB
2010-09-28,5.863030910491943
2010-09-29,5.854303359985352
2010-09-30,5.906673431396484
2010-10-01,5.882669925689697
2010-10-04,5.863030910491943
2010-10-05,5.932856559753418
2010-10-06,5.884851932525635
2010-10-07,5.871758460998535
2010-10-08,5.880488872528076
2010-10-11,5.928493976593018
2010-10-12,5.9263105392456055
2010-10-13,5.989588260650635
2010-10-14,6.039772987365723
2010-10-15,6.061594009399414
2010-10-18,6.1270527839660645
2010-10-19,6.065957069396973
2010-10-20,6.092142581939697
2010-10-21,6.041956424713135
2010-10-22,6.061594009399414
2010-10-25,6.12923526763916
2010-10-26,6.015771389007568
2010-10-27,6.01140832901001
2010-10-28,6.01140832901001
2010-10-29,6.004861354827881
2010-11-01,5.980859756469727
2010-11-02,6.009225368499756
