Date,IVZ
2010-09-29,12.018753051757812
2010-09-30,11.973626136779785
2010-10-01,12.052590370178223
2010-10-04,11.877752304077148
2010-10-05,12.30074691772461
2010-10-06,12.368427276611328
2010-10-07,12.515063285827637
2010-10-08,12.639139175415039
2010-10-11,12.689901351928711
2010-10-12,12.656062126159668
2010-10-13,12.898579597473145
2010-10-14,12.93805980682373
2010-10-15,12.892945289611816
2010-10-18,12.96626091003418
2010-10-19,12.65042781829834
2010-10-20,12.78014087677002
2010-10-21,12.571465492248535
2010-10-22,12.588379859924316
2010-10-25,12.469948768615723
2010-10-26,12.610945701599121
2010-10-27,12.70118236541748
2010-10-28,12.67298412322998
2010-10-29,12.971901893615723
2010-11-01,12.898579597473145
2010-11-02,13.214421272277832
2010-11-03,13.186223983764648
2010-11-04,13.535900115966797
