Date,CSX
2010-09-27,4.795573711395264
2010-09-28,4.794715404510498
2010-09-29,4.780116558074951
2010-09-30,4.750918388366699
2010-10-01,4.737174987792969
2010-10-04,4.6762003898620605
2010-10-05,4.8144683837890625
2010-10-06,4.878878116607666
2010-10-07,4.86857271194458
2010-10-08,4.937279224395752
2010-10-11,4.995677471160889
2010-10-12,4.917524337768555
2010-10-13,5.123638153076172
2010-10-14,5.146825790405273
2010-10-15,5.113332748413086
2010-10-18,5.163143634796143
2010-10-19,5.08155632019043
2010-10-20,5.199213981628418
2010-10-21,5.203507900238037
2010-10-22,5.254176616668701
2010-10-25,5.259328365325928
2010-10-26,5.261047840118408
2010-10-27,5.192342758178711
2010-10-28,5.200073719024658
2010-10-29,5.277365207672119
2010-11-01,5.296257972717285
