Date,TMO
2010-09-29,45.38964080810547
2010-09-30,45.4181022644043
2010-10-01,45.361183166503906
2010-10-04,44.94380187988281
2010-10-05,45.91136932373047
2010-10-06,45.45603561401367
2010-10-07,45.15249252319336
2010-10-08,45.01968765258789
2010-10-11,45.14301300048828
2010-10-12,45.9682731628418
2010-10-13,46.82200622558594
2010-10-14,45.835472106933594
2010-10-15,46.281314849853516
2010-10-18,46.94533157348633
2010-10-19,45.45603561401367
2010-10-20,46.34770202636719
2010-10-21,47.12554931640625
2010-10-22,47.10658645629883
2010-10-25,47.64726638793945
2010-10-26,47.73263931274414
2010-10-27,48.6717414855957
2010-10-28,48.358699798583984
2010-10-29,48.776084899902344
2010-11-01,48.91835403442383
2010-11-02,48.81404113769531
2010-11-03,49.35470199584961
