Date,CF
2010-09-29,14.133923530578613
2010-09-30,13.58620548248291
2010-10-01,13.465280532836914
2010-10-04,13.388459205627441
2010-10-05,13.946135520935059
2010-10-06,14.072744369506836
2010-10-07,14.032910346984863
2010-10-08,15.634803771972656
2010-10-11,16.139846801757812
2010-10-12,16.555248260498047
2010-10-13,16.842620849609375
2010-10-14,16.617847442626953
2010-10-15,17.051748275756836
2010-10-18,16.908063888549805
2010-10-19,16.32193946838379
2010-10-20,16.88530158996582
2010-10-21,16.835508346557617
2010-10-22,16.73735237121582
2010-10-25,16.808483123779297
2010-10-26,17.290756225585938
2010-10-27,17.25945281982422
2010-10-28,16.94931411743164
2010-10-29,17.431594848632812
2010-11-01,17.269412994384766
2010-11-02,17.39176368713379
2010-11-03,17.080202102661133
