Date,SJM
2010-09-29,40.39682388305664
2010-09-30,40.25053405761719
2010-10-01,40.07762908935547
2010-10-04,40.40345764160156
2010-10-05,41.07509231567383
2010-10-06,41.2147331237793
2010-10-07,41.254634857177734
2010-10-08,41.161556243896484
2010-10-11,41.2280387878418
2010-10-12,41.254634857177734
2010-10-13,41.77996826171875
2010-10-14,41.873043060302734
2010-10-15,41.85976028442383
2010-10-18,41.966148376464844
2010-10-19,41.33442687988281
2010-10-20,41.77996826171875
2010-10-21,41.93955993652344
2010-10-22,41.91295623779297
2010-10-25,42.006038665771484
2010-10-26,41.85309982299805
2010-10-27,41.60042953491211
2010-10-28,42.22547912597656
2010-10-29,42.744163513183594
2010-11-01,42.557979583740234
2010-11-02,42.61117935180664
2010-11-03,42.51142501831055
2010-11-04,42.917049407958984
