Date,GLW
2010-09-29,12.683260917663574
2010-09-30,12.614259719848633
2010-10-01,12.579751014709473
2010-10-04,12.36584186553955
2010-10-05,12.772968292236328
2010-10-06,12.669459342956543
2010-10-07,12.572853088378906
2010-10-08,12.676362991333008
2010-10-11,12.634957313537598
2010-10-12,12.73156452178955
2010-10-13,12.90407943725586
2010-10-14,12.690163612365723
2010-10-15,12.959284782409668
2010-10-18,13.014490127563477
2010-10-19,12.621150970458984
2010-10-20,12.793668746948242
2010-10-21,12.78676986694336
2010-10-22,12.835074424743652
2010-10-25,12.910977363586426
2010-10-26,12.738465309143066
2010-10-27,12.717765808105469
2010-10-28,12.759169578552246
2010-10-29,12.614259719848633
2010-11-01,12.766069412231445
2010-11-02,12.64875602722168
2010-11-03,12.828173637390137
