Date,KIM
2010-09-27,8.165556907653809
2010-09-28,8.160516738891602
2010-09-29,7.938736438751221
2010-09-30,7.933696746826172
2010-10-01,8.040633201599121
2010-10-04,8.285062789916992
2010-10-05,8.483658790588379
2010-10-06,8.560038566589355
2010-10-07,8.554946899414062
2010-10-08,8.565136909484863
2010-10-11,8.54476547241211
2010-10-12,8.605870246887207
2010-10-13,8.636425018310547
2010-10-14,8.524394989013672
2010-10-15,8.672070503234863
2010-10-18,8.712808609008789
2010-10-19,8.554946899414062
2010-10-20,8.80955696105957
2010-10-21,8.850296974182129
2010-10-22,8.824834823608398
2010-10-25,8.794282913208008
2010-10-26,8.692436218261719
2010-10-27,8.677162170410156
2010-10-28,8.773913383483887
2010-10-29,8.7637300491333
2010-11-01,8.758639335632324
2010-11-02,8.687344551086426
