Date,TXT
2010-09-29,20.101545333862305
2010-09-30,19.984895706176758
2010-10-01,20.169591903686523
2010-10-04,20.111268997192383
2010-10-05,20.918045043945312
2010-10-06,20.976364135742188
2010-10-07,20.616716384887695
2010-10-08,21.01524543762207
2010-10-11,20.898601531982422
2010-10-12,20.86944580078125
2010-10-13,21.034685134887695
2010-10-14,20.733360290527344
2010-10-15,20.9083309173584
2010-10-18,20.665321350097656
2010-10-19,20.354265213012695
2010-10-20,20.19874382019043
2010-10-21,20.37371063232422
2010-10-22,20.363988876342773
2010-10-25,20.247352600097656
2010-10-26,20.091829299926758
2010-10-27,20.17930793762207
2010-10-28,20.08209800720215
2010-10-29,20.237628936767578
2010-11-01,20.19874382019043
2010-11-02,20.830562591552734
2010-11-03,21.01524543762207
