Date,ERIE
2010-09-29,36.81982421875
2010-09-30,36.97814178466797
2010-10-01,36.86502456665039
2010-10-04,36.93156814575195
2010-10-05,37.15113830566406
2010-10-06,36.93822479248047
2010-10-07,37.03135681152344
2010-10-08,37.290836334228516
2010-10-11,37.21763610839844
2010-10-12,37.28417205810547
2010-10-13,37.370670318603516
2010-10-14,37.65675354003906
2010-10-15,37.836387634277344
2010-10-18,38.18900680541992
2010-10-19,37.87629699707031
2010-10-20,38.30210494995117
2010-10-21,38.60814666748047
2010-10-22,38.581539154052734
2010-10-25,38.72792434692383
2010-10-26,38.76784133911133
2010-10-27,38.58819580078125
2010-10-28,38.49503707885742
2010-10-29,38.04263687133789
2010-11-01,38.77448654174805
2010-11-02,39.00733947753906
2010-11-03,39.233543395996094
