Date,AIZ
2010-09-29,30.166778564453125
2010-09-30,30.41337776184082
2010-10-01,30.346111297607422
2010-10-04,30.196666717529297
2010-10-05,30.906566619873047
2010-10-06,30.906566619873047
2010-10-07,30.67490577697754
2010-10-08,30.55535125732422
2010-10-11,30.204132080078125
2010-10-12,30.405899047851562
2010-10-13,30.764577865600586
2010-10-14,30.547882080078125
2010-10-15,30.600170135498047
2010-10-18,31.145679473876953
2010-10-19,30.7122802734375
2010-10-20,30.86919593811035
2010-10-21,30.943912506103516
2010-10-22,30.914033889770508
2010-10-25,30.81688117980957
2010-10-26,31.056007385253906
2010-10-27,30.861732482910156
2010-10-28,29.823028564453125
2010-10-29,29.546537399291992
2010-11-01,29.80809211730957
2010-11-02,29.91270637512207
2010-11-03,29.554025650024414
