Date,BAC
2010-09-29,10.2990083694458
2010-09-30,10.291150093078613
2010-10-01,10.448267936706543
2010-10-04,10.330427169799805
2010-10-05,10.652523040771484
2010-10-06,10.518972396850586
2010-10-07,10.456125259399414
2010-10-08,10.353994369506836
2010-10-11,10.330427169799805
2010-10-12,10.621097564697266
2010-10-13,10.440411567687988
2010-10-14,9.898360252380371
2010-10-15,9.411293983459473
2010-10-18,9.694108009338379
2010-10-19,9.269887924194336
2010-10-20,9.23061466217041
2010-10-21,8.92423152923584
2010-10-22,8.987080574035645
2010-10-25,8.767119407653809
2010-10-26,8.87709903717041
2010-10-27,9.065638542175293
2010-10-28,9.057785034179688
2010-10-29,8.994937896728516
2010-11-01,9.034217834472656
2010-11-02,8.955657005310059
2010-11-03,9.0499267578125
