Date,ROK
2010-09-29,46.15346145629883
2010-09-30,45.6286506652832
2010-10-01,45.732147216796875
2010-10-04,44.99297332763672
2010-10-05,46.234764099121094
2010-10-06,45.87257766723633
2010-10-07,45.776485443115234
2010-10-08,46.30128479003906
2010-10-11,45.99085235595703
2010-10-12,45.87995910644531
2010-10-13,46.50087356567383
2010-10-14,45.85040283203125
2010-10-15,45.769081115722656
2010-10-18,46.094322204589844
2010-10-19,45.12602615356445
2010-10-20,45.946495056152344
2010-10-21,46.62651824951172
2010-10-22,46.35304641723633
2010-10-25,47.18829345703125
2010-10-26,46.803924560546875
2010-10-27,46.29390335083008
2010-10-28,46.01301574707031
2010-10-29,46.101715087890625
2010-11-01,46.774349212646484
2010-11-02,47.73527908325195
2010-11-03,47.97920227050781
2010-11-04,49.058380126953125
