Date,ADI
2010-09-29,22.481828689575195
2010-09-30,22.34653091430664
2010-10-01,22.35364532470703
2010-10-04,22.0972843170166
2010-10-05,22.795167922973633
2010-10-06,22.503189086914062
2010-10-07,22.723953247070312
2010-10-08,23.030170440673828
2010-10-11,23.136981964111328
2010-10-12,23.18683624267578
2010-10-13,22.375011444091797
2010-10-14,22.375011444091797
2010-10-15,22.55304718017578
2010-10-18,22.467588424682617
2010-10-19,22.268190383911133
2010-10-20,22.460464477539062
2010-10-21,22.36077117919922
2010-10-22,22.795167922973633
2010-10-25,22.98031997680664
2010-10-26,22.780925750732422
2010-10-27,23.350614547729492
2010-10-28,23.450313568115234
2010-10-29,23.977291107177734
2010-11-01,24.069869995117188
2010-11-02,24.461545944213867
2010-11-03,24.68230438232422
