Date,BALL
2010-09-29,12.7681884765625
2010-09-30,12.763856887817383
2010-10-01,12.880972862243652
2010-10-04,12.794218063354492
2010-10-05,13.121722221374512
2010-10-06,13.060991287231445
2010-10-07,13.013273239135742
2010-10-08,13.039305686950684
2010-10-11,13.147747993469238
2010-10-12,13.188956260681152
2010-10-13,13.440544128417969
2010-10-14,13.390660285949707
2010-10-15,13.486089706420898
2010-10-18,13.52946949005127
2010-10-19,13.349448204040527
2010-10-20,13.4774169921875
2010-10-21,13.4774169921875
2010-10-22,13.312581062316895
2010-10-25,13.338606834411621
2010-10-26,13.353791236877441
2010-10-27,13.186784744262695
2010-10-28,13.403669357299805
2010-10-29,13.958907127380371
2010-11-01,13.698638916015625
2010-11-02,13.943723678588867
2010-11-03,13.980595588684082
