Date,GWW
2010-09-29,93.86471557617188
2010-09-30,93.51143646240234
2010-10-01,93.52715301513672
2010-10-04,92.83625030517578
2010-10-05,95.53697204589844
2010-10-06,96.2670669555664
2010-10-07,95.7724838256836
2010-10-08,96.56542205810547
2010-10-11,96.67530822753906
2010-10-12,97.11492919921875
2010-10-13,98.37896728515625
2010-10-14,95.4976806640625
2010-10-15,95.24646759033203
2010-10-18,95.921630859375
2010-10-19,95.120849609375
2010-10-20,96.36128234863281
2010-10-21,97.20919036865234
2010-10-22,96.25923919677734
2010-10-25,96.34559631347656
2010-10-26,95.59191131591797
2010-10-27,95.324951171875
2010-10-28,95.07373809814453
2010-10-29,97.37405395507812
2010-11-01,97.64096069335938
2010-11-02,98.28473663330078
2010-11-03,97.8372573852539
2010-11-04,99.6192626953125
