Date,AVB
2010-09-29,64.5623550415039
2010-09-30,64.51887512207031
2010-10-01,65.26387023925781
2010-10-04,65.80392456054688
2010-10-05,66.15777587890625
2010-10-06,64.89134979248047
2010-10-07,64.87893676757812
2010-10-08,65.65494537353516
2010-10-11,66.40608978271484
2010-10-12,68.06360626220703
2010-10-13,68.78370666503906
2010-10-14,68.20636749267578
2010-10-15,68.31818389892578
2010-10-18,69.7770004272461
2010-10-19,67.93944549560547
2010-10-20,69.94459533691406
2010-10-21,68.58509063720703
2010-10-22,68.33673095703125
2010-10-25,68.11947631835938
2010-10-26,67.88980102539062
2010-10-27,67.29383087158203
2010-10-28,65.67974090576172
2010-10-29,65.99638366699219
2010-11-01,66.35639953613281
2010-11-02,67.23794555664062
2010-11-03,68.38642120361328
2010-11-04,70.205322265625
