Date,GIS
2010-09-29,22.28874397277832
2010-09-30,22.08925437927246
2010-10-01,22.337112426757812
2010-10-04,22.36129379272461
2010-10-05,22.50032615661621
2010-10-06,22.719602584838867
2010-10-07,22.646509170532227
2010-10-08,22.524688720703125
2010-10-11,22.281049728393555
2010-10-12,22.451601028442383
2010-10-13,22.82924461364746
2010-10-14,22.68915367126465
2010-10-15,22.70742416381836
2010-10-18,22.78660774230957
2010-10-19,22.60387420654297
2010-10-20,22.640426635742188
2010-10-21,22.609966278076172
2010-10-22,22.719602584838867
2010-10-25,22.8414249420166
2010-10-26,22.77442169189453
2010-10-27,22.640426635742188
2010-10-28,22.804874420166016
2010-10-29,22.877973556518555
2010-11-01,22.62214469909668
2010-11-02,22.475963592529297
2010-11-03,22.37241554260254
