Date,MKTX
2010-09-29,14.708538055419922
2010-09-30,14.691230773925781
2010-10-01,14.647976875305176
2010-10-04,14.751794815063477
2010-10-05,15.037317276000977
2010-10-06,14.933494567871094
2010-10-07,15.05461597442627
2010-10-08,15.288227081298828
2010-10-11,15.141138076782227
2010-10-12,15.097871780395508
2010-10-13,15.071924209594727
2010-10-14,14.959442138671875
2010-10-15,15.071924209594727
2010-10-18,15.374753952026367
2010-10-19,15.011360168457031
2010-10-20,15.357439041137695
2010-10-21,15.565084457397461
2010-10-22,15.642962455749512
2010-10-25,15.902523040771484
2010-10-26,15.841952323913574
2010-10-27,16.006349563598633
2010-10-28,15.816004753112793
2010-10-29,15.720834732055664
2010-11-01,15.755444526672363
2010-11-02,16.006349563598633
2010-11-03,15.963091850280762
