Date,PCG
2010-09-29,34.39990234375
2010-09-30,34.57497787475586
2010-10-01,34.803348541259766
2010-10-04,34.81095886230469
2010-10-05,35.54935073852539
2010-10-06,35.27531051635742
2010-10-07,35.389488220214844
2010-10-08,35.61024856567383
2010-10-11,35.465606689453125
2010-10-12,35.44277572631836
2010-10-13,35.36665344238281
2010-10-14,35.5417366027832
2010-10-15,35.70159912109375
2010-10-18,35.93757247924805
2010-10-19,35.70921325683594
2010-10-20,36.15833282470703
2010-10-21,36.04414749145508
2010-10-22,36.28012466430664
2010-10-25,36.28773880004883
2010-10-26,36.219242095947266
2010-10-27,36.120269775390625
2010-10-28,36.33340835571289
2010-10-29,36.40191650390625
2010-11-01,36.17355728149414
2010-11-02,36.607452392578125
2010-11-03,36.447608947753906
