Date,BX
2010-09-27,5.52103328704834
2010-09-28,5.672426223754883
2010-09-29,5.852201461791992
2010-09-30,6.003594875335693
2010-10-01,5.885320663452148
2010-10-04,5.866394996643066
2010-10-05,5.994129657745361
2010-10-06,5.989401340484619
2010-10-07,6.112404823303223
2010-10-08,6.207024097442627
2010-10-11,6.3962626457214355
2010-10-12,6.306375503540039
2010-10-13,6.44830322265625
2010-10-14,6.386800289154053
2010-10-15,6.3300299644470215
2010-10-18,6.367878437042236
2010-10-19,6.334762096405029
2010-10-20,6.3300299644470215
2010-10-21,6.505073547363281
2010-10-22,6.410457611083984
2010-10-25,6.410457611083984
2010-10-26,6.334762096405029
2010-10-27,6.372607707977295
2010-10-28,6.273257732391357
2010-10-29,6.3773393630981445
2010-11-01,6.3631463050842285
2010-11-02,6.618617057800293
