Date,MAS
2010-09-28,7.581849575042725
2010-09-29,7.5060296058654785
2010-09-30,7.588738918304443
2010-10-01,7.705916404724121
2010-10-04,7.643883228302002
2010-10-05,8.016077995300293
2010-10-06,8.165228843688965
2010-10-07,8.20686149597168
2010-10-08,8.366415977478027
2010-10-11,8.380288124084473
2010-10-12,8.199919700622559
2010-10-13,8.123607635498047
2010-10-14,7.8669281005859375
2010-10-15,7.637996673583984
2010-10-18,7.561685562133789
2010-10-19,7.45068883895874
2010-10-20,7.52006196975708
2010-10-21,7.665747165679932
2010-10-22,7.596371650695801
2010-10-25,7.554748058319092
2010-10-26,7.582497596740723
2010-10-27,7.402125835418701
2010-10-28,7.3535661697387695
2010-10-29,7.395191669464111
2010-11-01,7.457627773284912
2010-11-02,7.4992499351501465
2010-11-03,7.4784393310546875
