Date,JBHT
2010-09-29,30.596277236938477
2010-09-30,30.07623863220215
2010-10-01,29.937549591064453
2010-10-04,29.53019142150879
2010-10-05,30.327606201171875
2010-10-06,30.838966369628906
2010-10-07,30.70029640197754
2010-10-08,30.76096534729004
2010-10-11,31.012332916259766
2010-10-12,30.873628616333008
2010-10-13,31.1510009765625
2010-10-14,30.778301239013672
2010-10-15,31.246341705322266
2010-10-18,31.246341705322266
2010-10-19,31.03831672668457
2010-10-20,31.593042373657227
2010-10-21,31.480361938476562
2010-10-22,31.324363708496094
2010-10-25,31.65371322631836
2010-10-26,31.870399475097656
2010-10-27,31.480361938476562
2010-10-28,31.177001953125
2010-10-29,31.159669876098633
2010-11-01,31.30702781677246
2010-11-02,31.549715042114258
2010-11-03,31.549715042114258
2010-11-04,32.29511642456055
