Date,ZBH
2010-09-29,45.172908782958984
2010-09-30,45.32882308959961
2010-10-01,45.606014251708984
2010-10-04,44.37599563598633
2010-10-05,45.40679168701172
2010-10-06,45.692630767822266
2010-10-07,45.12960433959961
2010-10-08,45.00833511352539
2010-10-11,44.71382141113281
2010-10-12,44.15945053100586
2010-10-13,43.74367141723633
2010-10-14,43.579097747802734
2010-10-15,44.367332458496094
2010-10-18,45.24220657348633
2010-10-19,43.88224792480469
2010-10-20,43.899600982666016
2010-10-21,44.50593948364258
2010-10-22,44.427982330322266
2010-10-25,44.66185760498047
2010-10-26,44.94768524169922
2010-10-27,44.94768524169922
2010-10-28,42.79949951171875
2010-10-29,41.09306335449219
2010-11-01,41.66476821899414
2010-11-02,42.43568420410156
2010-11-03,42.96407699584961
