Date,PFE
2010-09-28,9.040969848632812
2010-09-29,9.025409698486328
2010-09-30,8.906107902526855
2010-10-01,8.911293983459473
2010-10-04,8.766056060791016
2010-10-05,8.937228202819824
2010-10-06,8.952792167663574
2010-10-07,9.015037536621094
2010-10-08,9.056529998779297
2010-10-11,9.015037536621094
2010-10-12,9.066903114318848
2010-10-13,9.19658088684082
2010-10-14,9.160273551940918
2010-10-15,9.206951141357422
2010-10-18,9.232891082763672
2010-10-19,9.020222663879395
2010-10-20,9.160273551940918
2010-10-21,9.144706726074219
2010-10-22,9.077280044555664
2010-10-25,9.139521598815918
2010-10-26,9.072089195251465
2010-10-27,8.963162422180176
2010-10-28,9.1135892868042
2010-10-29,9.03577995300293
2010-11-01,9.139521598815918
2010-11-02,9.051342010498047
2010-11-03,9.123960494995117
