Date,REG
2010-09-29,22.187788009643555
2010-09-30,22.565114974975586
2010-10-01,22.63943099975586
2010-10-04,23.211135864257812
2010-10-05,23.559864044189453
2010-10-06,23.559864044189453
2010-10-07,23.57131004333496
2010-10-08,23.565601348876953
2010-10-11,23.617046356201172
2010-10-12,23.702802658081055
2010-10-13,24.11442756652832
2010-10-14,23.965784072875977
2010-10-15,23.971498489379883
2010-10-18,24.11442756652832
2010-10-19,23.977214813232422
2010-10-20,24.434585571289062
2010-10-21,24.44601821899414
2010-10-22,24.543201446533203
2010-10-25,24.46316146850586
2010-10-26,24.28021812438965
2010-10-27,24.15445327758789
2010-10-28,24.223052978515625
2010-10-29,24.11442756652832
2010-11-01,24.45172882080078
2010-11-02,24.926239013671875
2010-11-03,24.86907958984375
2010-11-04,24.97770118713379
