Date,CMS
2010-09-29,11.1950044631958
2010-09-30,11.114815711975098
2010-10-01,11.238177299499512
2010-10-04,11.269021034240723
2010-10-05,11.44172191619873
2010-10-06,11.472566604614258
2010-10-07,11.5219087600708
2010-10-08,11.620598793029785
2010-10-11,11.669941902160645
2010-10-12,11.61443042755127
2010-10-13,11.429390907287598
2010-10-14,11.565085411071777
2010-10-15,11.602096557617188
2010-10-18,11.565085411071777
2010-10-19,11.503406524658203
2010-10-20,11.515742301940918
2010-10-21,11.44172191619873
2010-10-22,11.52807903289795
2010-10-25,11.546582221984863
2010-10-26,11.3060302734375
2010-10-27,11.287525177001953
2010-10-28,11.4170503616333
2010-10-29,11.336869239807129
2010-11-01,11.244344711303711
2010-11-02,11.484903335571289
2010-11-03,11.391326904296875
2010-11-04,11.622143745422363
