Date,VMC
2010-09-29,32.8254280090332
2010-09-30,32.77217102050781
2010-10-01,33.28699493408203
2010-10-04,32.745548248291016
2010-10-05,33.402408599853516
2010-10-06,33.721961975097656
2010-10-07,32.931941986083984
2010-10-08,32.656776428222656
2010-10-11,32.40822982788086
2010-10-12,31.96440315246582
2010-10-13,32.40822982788086
2010-10-14,32.337223052978516
2010-10-15,32.425987243652344
2010-10-18,32.40822982788086
2010-10-19,31.85788345336914
2010-10-20,32.12419509887695
2010-10-21,32.28395080566406
2010-10-22,32.576881408691406
2010-10-25,32.789913177490234
2010-10-26,32.62126159667969
2010-10-27,32.159698486328125
2010-10-28,32.186317443847656
2010-10-29,32.40822982788086
2010-11-01,32.13307189941406
2010-11-02,35.118446350097656
2010-11-03,34.75196838378906
